"time","coolingLoad","n","Mode","CT_c","CHP_c","CP_c","Chiller_c","Tset","Twb","valveOpen","Val9","Val10","StoragePumpSignal"
0,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
30,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
60,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
90,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
120,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
150,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
180,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
210,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
240,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
270,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
300,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
330,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
360,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
390,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
420,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
450,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
480,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
510,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
540,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
570,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
600,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
630,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
660,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
690,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
720,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
750,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
780,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
810,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
840,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
870,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
900,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
930,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
960,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
990,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1020,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1050,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1080,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1110,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1140,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1170,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1200,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1230,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1260,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1290,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1320,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1350,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1380,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1410,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1440,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1470,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1500,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1530,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1560,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1590,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1620,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1650,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1680,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1710,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1740,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1770,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1800,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1830,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1860,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1890,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1920,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1950,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
1980,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2010,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2040,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2070,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2100,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2130,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2160,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2190,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2220,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2250,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2280,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2310,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2340,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2370,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2400,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2430,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2460,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2490,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2520,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2550,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2580,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2610,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2640,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2670,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2700,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2730,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2760,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2790,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2820,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2850,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2880,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2910,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2940,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
2970,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3000,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3030,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3060,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3090,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3120,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3150,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3180,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3210,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3240,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3270,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3300,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3330,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3360,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3390,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3420,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3450,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3480,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3510,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3540,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3570,7000000,1,1,1,1,1,1,293.15,300.15,0,0,1,1
3600,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3630,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3660,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3690,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3720,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3750,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3780,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3810,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3840,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3870,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3900,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3930,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3960,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
3990,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4020,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4050,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4080,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4110,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4140,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4170,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4200,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4230,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4260,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4290,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4320,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4350,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4380,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4410,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4440,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4470,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4500,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4530,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4560,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4590,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4620,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4650,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4680,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4710,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4740,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4770,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4800,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4830,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4860,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4890,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4920,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4950,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4980,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5010,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5040,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5070,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5100,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5130,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5160,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5190,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5220,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5250,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5280,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5310,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5340,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5370,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5400,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5430,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5460,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5490,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5520,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5550,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5580,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5610,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5640,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5670,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5700,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5730,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5760,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5790,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5820,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5850,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5880,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5910,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5940,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5970,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6000,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6030,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6060,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6090,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6120,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6150,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6180,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6210,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6240,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6270,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6300,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6330,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6360,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6390,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6420,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6450,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6480,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6510,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6540,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6570,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6600,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6630,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6660,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6690,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6720,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6750,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6780,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6810,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6840,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6870,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6900,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6930,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6960,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6990,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7020,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7050,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7080,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7110,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7140,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7170,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
7200,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
